연번,검증인정서번호,기업명,공장명,모델명,검증코드,출력(W),탄소배출량,검증방법,검증인정서발급일,검증인정서만료일
395,2021-395,에이치디현대에너지솔루션(주),음성공장,HiS-S435YI-EN,HiS-S435YI-EN_795.02kgCO2,435,795.02,표준배출계수,2021-05-25,2024-05-24
396,2021-396,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-EN,HiS-S440YI-EN_785.98kgCO2,440,785.98,표준배출계수,2021-05-25,2024-05-24
397,2021-397,에이치디현대에너지솔루션(주),음성공장,HiS-S445YI-EN,HiS-S445YI-EN_777.15kgCO2,445,777.15,표준배출계수,2021-05-25,2024-05-24
398,2021-398,에이치디현대에너지솔루션(주),음성공장,HiS-S450YI-EN,HiS-S450YI-EN_768.51kgCO2,450,768.51,표준배출계수,2021-05-25,2024-05-24
399,2021-399,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-EN,HiS-S440YI-EN_669.89kgCO2,440,669.89,표준배출계수,2021-05-25,2024-05-24
400,2021-400,에이치디현대에너지솔루션(주),음성공장,HiS-S425YI-ON,HiS-S425YI-ON_797.12kgCO2,425,797.12,표준배출계수,2021-05-25,2024-05-24
401,2021-401,에이치디현대에너지솔루션(주),음성공장,HiS-S430YI-ON,HiS-S430YI-ON_787.85kgCO2,430,787.85,표준배출계수,2021-05-25,2024-05-24
402,2021-402,에이치디현대에너지솔루션(주),음성공장,HiS-S435YI-ON,HiS-S435YI-ON_778.79kgCO2,435,778.79,표준배출계수,2021-05-25,2024-05-24
403,2021-403,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-ON,HiS-S440YI-ON_769.94kgCO2,440,769.94,표준배출계수,2021-05-25,2024-05-24
404,2021-404,에이치디현대에너지솔루션(주),음성공장,HiS-S445YI-ON,HiS-S445YI-ON_761.29kgCO2,445,761.29,표준배출계수,2021-05-25,2024-05-24
405,2021-405,에이치디현대에너지솔루션(주),음성공장,HiS-S450YI-ON,HiS-S450YI-ON_752.83kgCO2,450,752.83,표준배출계수,2021-05-25,2024-05-24
406,2021-406,에이치디현대에너지솔루션(주),음성공장,HiS-S425YI-ON,HiS-S425YI-ON_676.93kgCO2,425,676.93,표준배출계수,2021-05-25,2024-05-24
407,2021-407,에이치디현대에너지솔루션(주),음성공장,HiS-S430YI-ON,HiS-S430YI-ON_669.05kgCO2,430,669.05,표준배출계수,2024-05-25,2027-05-24
408,2021-408,에이치디현대에너지솔루션(주),음성공장,HiS-S435YI-ON,HiS-S435YI-ON_661.36kgCO2,435,661.36,표준배출계수,2024-05-25,2027-05-24
409,2021-409,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-ON,HiS-S440YI-ON_653.85kgCO2,440,653.85,표준배출계수,2021-05-25,2024-05-24
410,2021-410,에이치디현대에너지솔루션(주),음성공장,HiS-S445YI-ON,HiS-S445YI-ON_646.50kgCO2,445,646.5,표준배출계수,2021-05-25,2024-05-24
411,2021-411,에이치디현대에너지솔루션(주),음성공장,HiS-S450YI-ON,HiS-S450YI-ON_639.32kgCO2,450,639.32,표준배출계수,2021-05-25,2024-05-24
412,2021-412,에이치디현대에너지솔루션(주),음성공장,HiS-S425YI-EN,HiS-S425YI-EN_803.72kgCO2,425,803.72,표준배출계수,2021-05-25,2024-05-24
413,2021-413,에이치디현대에너지솔루션(주),음성공장,HiS-S430YI-EN,HiS-S430YI-EN_794.38kgCO2,430,794.38,표준배출계수,2021-05-25,2024-05-24
414,2021-414,에이치디현대에너지솔루션(주),음성공장,HiS-S435YI-EN,HiS-S435YI-EN_785.25kgCO2,435,785.25,표준배출계수,2021-05-25,2024-05-24
415,2021-415,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-EN,HiS-S440YI-EN_776.32kgCO2,440,776.32,표준배출계수,2021-05-25,2024-05-24
416,2021-416,에이치디현대에너지솔루션(주),음성공장,HiS-S445YI-EN,HiS-S445YI-EN_767.60kgCO2,445,767.6,표준배출계수,2021-05-25,2024-05-24
417,2021-417,에이치디현대에너지솔루션(주),음성공장,HiS-S450YI-EN,HiS-S450YI-EN_759.07kgCO2,450,759.07,표준배출계수,2021-05-25,2024-05-24
418,2021-418,에이치디현대에너지솔루션(주),음성공장,HiS-S425YI-ON,HiS-S425YI-ON_787.12kgCO2,425,787.12,표준배출계수,2021-05-25,2024-05-24
419,2021-419,에이치디현대에너지솔루션(주),음성공장,HiS-S430YI-ON,HiS-S430YI-ON_777.97kgCO2,430,777.97,표준배출계수,2021-05-25,2024-05-24
420,2021-420,에이치디현대에너지솔루션(주),음성공장,HiS-S435YI-ON,HiS-S435YI-ON_769.03kgCO2,435,769.03,표준배출계수,2021-05-25,2024-05-24
421,2021-421,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-ON,HiS-S440YI-ON_760.29kgCO2,440,760.29,표준배출계수,2021-05-25,2024-05-24
422,2021-422,에이치디현대에너지솔루션(주),음성공장,HiS-S445YI-ON,HiS-S445YI-ON_751.74kgCO2,445,751.74,표준배출계수,2021-05-25,2024-05-24
423,2021-423,에이치디현대에너지솔루션(주),음성공장,HiS-S450YI-ON,HiS-S450YI-ON_743.39kgCO2,450,743.39,표준배출계수,2021-05-25,2024-05-24
424,2021-424,(주)신성이엔지,김제공장,SS-DM455PJ,SS-DM455PJ_715.85kgCO2,455,715.85,표준배출계수,2021-05-25,2024-05-24
425,2021-425,(주)신성이엔지,김제공장,SS-DM460PJ,SS-DM460PJ_708.07kgCO2,460,708.07,표준배출계수,2021-05-25,2024-05-24
426,2021-426,(주)신성이엔지,음성공장,SS-DM390PE,SS-DM390PE_803.56kgCO2,390,803.56,표준배출계수,2021-05-25,2023-02-24
427,2021-427,(주)신성이엔지,음성공장,SS-DM395PE,SS-DM395PE_793.39kgCO2,395,793.39,표준배출계수,2021-05-25,2023-02-24
428,2021-428,(주)신성이엔지,음성공장,SS-DM400PE,SS-DM400PE_783.47kgCO2,400,783.47,표준배출계수,2021-05-25,2023-02-24
429,2021-429,에스디피브이(주),강진공장,SPM450-HBB-A1,SPM450-HBB-A1_660.89kgCO2,450,660.89,표준배출계수,2021-05-25,2024-05-24
430,2021-430,에스디피브이(주),강진공장,SPM445-HBB-A1,SPM445-HBB-A1_668.31kgCO2,445,668.31,표준배출계수,2021-05-25,2024-05-24
431,2021-431,에스디피브이(주),강진공장,SPM440-HBB-A1,SPM440-HBB-A1_675.91kgCO2,440,675.91,표준배출계수,2021-05-25,2024-05-24
432,2021-432,에스디피브이(주),강진공장,SPM450-HBB-A1,SPM450-HBB-A1_759.07kgCO2,450,759.07,표준배출계수,2024-05-25,2027-05-24
433,2021-433,에스디피브이(주),강진공장,SPM445-HBB-A1,SPM445-HBB-A1_767.60kgCO2,445,767.6,표준배출계수,2021-05-25,2024-05-24
434,2021-434,에스디피브이(주),강진공장,SPM440-HBB-A1,SPM440-HBB-A1_776.32kgCO2,440,776.32,표준배출계수,2021-05-25,2024-05-24
435,2021-435,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 465,Q.PEAK DUO XL-G10.3/BFG KR1 465_661.35kgCO2,465,661.35,표준배출계수,2024-06-25,2027-06-24
436,2021-436,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 470,Q.PEAK DUO XL-G10.3/BFG KR1 470_654.31kgCO2,470,654.31,표준배출계수,2024-06-25,2027-06-24
437,2021-437,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 475,Q.PEAK DUO XL-G10.3/BFG KR1 475_647.43kgCO2,475,647.43,표준배출계수,2024-06-25,2027-06-24
438,2021-438,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 465,Q.PEAK DUO XL-G10.3/BFG KR1 465_749.31kgCO2,465,749.31,표준배출계수,2024-06-25,2027-06-24
439,2021-439,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 470,Q.PEAK DUO XL-G10.3/BFG KR1 470_741.33kgCO2,470,741.33,표준배출계수,2024-06-25,2027-06-24
440,2021-440,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 475,Q.PEAK DUO XL-G10.3/BFG KR1 475_733.53kgCO2,475,733.53,표준배출계수,2024-06-25,2027-06-24
441,2021-441,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 485,Q.PEAK DUO XL-G10.3 KR1 485_626.35kgCO2,485,626.35,표준배출계수,2021-06-25,2024-06-24
442,2021-442,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 485,Q.PEAK DUO XL-G10.3 KR1 485_710.68kgCO2,485,710.68,표준배출계수,2024-06-25,2027-06-24
443,2021-443,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 465,Q.PEAK DUO XL-G9.3 KR1 465_625.74kgCO2,465,625.74,표준배출계수,2024-06-25,2027-06-24
444,2021-444,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 465,Q.PEAK DUO XL-G9.3 KR1 465_709.47kgCO2,465,709.47,표준배출계수,2024-06-25,2027-06-24
445,2021-445,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3/BFG 460,Q.PEAK DUO XL-G9.3/BFG 460_629.25kgCO2,460,629.25,표준배출계수,2024-06-25,2027-06-24
446,2021-446,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3/BFG 460,Q.PEAK DUO XL-G9.3/BFG 460_713.90kgCO2,460,713.9,표준배출계수,2024-06-25,2027-06-24
447,2021-447,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 435,Q.PEAK DUO L-G6 KR2 435_623.88kgCO2,435,623.88,표준배출계수,2024-06-25,2027-06-24
448,2021-448,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 435,Q.PEAK DUO L-G6 KR2 435_707.08kgCO2,435,707.08,표준배출계수,2024-06-25,2027-06-24
449,2021-449,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.4 KR2 435,Q.PEAK DUO L-G6.4 KR2 435_722.56kgCO2,435,722.56,표준배출계수,2024-06-25,2027-06-24
450,2021-450,(주)탑선,장성공장,TOP CLASS 550I,TOP CLASS 550I_793.64kgCO2,550,793.64,표준배출계수,2021-06-25,2024-06-24
451,2021-451,에이치디현대에너지솔루션(주),음성공장,HiS-S425YI-EN,HiS-S425YI-EN_790.80kgCO2,425,790.8,표준배출계수,2021-06-25,2024-06-24
452,2021-452,에이치디현대에너지솔루션(주),음성공장,HiS-S430YI-EN,HiS-S430YI-EN_781.60kgCO2,430,781.6,표준배출계수,2021-06-25,2024-06-24
453,2021-453,에이치디현대에너지솔루션(주),음성공장,HiS-S435YI-EN,HiS-S435YI-EN_772.62kgCO2,435,772.62,표준배출계수,2021-06-25,2024-06-24
454,2021-454,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-EN,HiS-S440YI-EN_763.84kgCO2,440,763.84,표준배출계수,2021-06-25,2024-06-24
455,2021-455,에이치디현대에너지솔루션(주),음성공장,HiS-S445YI-EN,HiS-S445YI-EN_755.26kgCO2,445,755.26,표준배출계수,2021-06-25,2024-06-24
456,2021-456,에이치디현대에너지솔루션(주),음성공장,HiS-S450YI-EN,HiS-S450YI-EN_746.87kgCO2,450,746.87,표준배출계수,2021-06-25,2024-06-24
457,2021-457,에이치디현대에너지솔루션(주),음성공장,HiS-S425YI-EN,HiS-S425YI-EN_772.18kgCO2,425,772.18,표준배출계수,2021-06-25,2024-06-24
458,2021-458,에이치디현대에너지솔루션(주),음성공장,HiS-S430YI-EN,HiS-S430YI-EN_763.20kgCO2,430,763.2,표준배출계수,2021-06-25,2024-06-24
459,2021-459,에이치디현대에너지솔루션(주),음성공장,HiS-S435YI-EN,HiS-S435YI-EN_754.43kgCO2,435,754.43,표준배출계수,2021-06-25,2024-06-24
460,2021-460,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-EN,HiS-S440YI-EN_745.86kgCO2,440,745.86,표준배출계수,2021-06-25,2024-06-24
461,2021-461,에이치디현대에너지솔루션(주),음성공장,HiS-S445YI-EN,HiS-S445YI-EN_737.47kgCO2,445,737.47,표준배출계수,2021-06-25,2024-06-24
462,2021-462,에이치디현대에너지솔루션(주),음성공장,HiS-S450YI-EN,HiS-S450YI-EN_729.28kgCO2,450,729.28,표준배출계수,2021-06-25,2024-06-24
463,2021-463,에이치디현대에너지솔루션(주),음성공장,HiS-S425YI-ON,HiS-S425YI-ON_774.20kgCO2,425,774.2,표준배출계수,2021-06-25,2024-06-24
464,2021-464,에이치디현대에너지솔루션(주),음성공장,HiS-S430YI-ON,HiS-S430YI-ON_765.19kgCO2,430,765.19,표준배출계수,2021-06-25,2024-06-24
465,2021-465,에이치디현대에너지솔루션(주),음성공장,HiS-S435YI-ON,HiS-S435YI-ON_756.40kgCO2,435,756.4,표준배출계수,2021-06-25,2024-06-24
466,2021-466,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-ON,HiS-S440YI-ON_747.80kgCO2,440,747.8,표준배출계수,2021-06-25,2024-06-24
467,2021-467,에이치디현대에너지솔루션(주),음성공장,HiS-S445YI-ON,HiS-S445YI-ON_739.40kgCO2,445,739.4,표준배출계수,2021-06-25,2024-06-24
468,2021-468,에이치디현대에너지솔루션(주),음성공장,HiS-S450YI-ON,HiS-S450YI-ON_731.19kgCO2,450,731.19,표준배출계수,2021-06-25,2024-06-24
469,2021-469,에이치디현대에너지솔루션(주),음성공장,HiS-S425YI-ON,HiS-S425YI-ON_664.00kgCO2,425,664,표준배출계수,2021-06-25,2024-06-24
470,2021-470,에이치디현대에너지솔루션(주),음성공장,HiS-S430YI-ON,HiS-S430YI-ON_656.28kgCO2,430,656.28,표준배출계수,2021-06-25,2024-06-24
471,2021-471,에이치디현대에너지솔루션(주),음성공장,HiS-S435YI-ON,HiS-S435YI-ON_648.74kgCO2,435,648.74,표준배출계수,2021-06-25,2024-06-24
472,2021-472,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-ON,HiS-S440YI-ON_641.36kgCO2,440,641.36,표준배출계수,2021-06-25,2024-06-24
473,2021-473,에이치디현대에너지솔루션(주),음성공장,HiS-S445YI-ON,HiS-S445YI-ON_634.16kgCO2,445,634.16,표준배출계수,2021-06-25,2024-06-24
474,2021-474,에이치디현대에너지솔루션(주),음성공장,HiS-S450YI-ON,HiS-S450YI-ON_711.00kgCO2,450,711,표준배출계수,2021-06-25,2024-06-24
475,2021-475,에이치디현대에너지솔루션(주),음성공장,HiS-S425YI-ON,HiS-S425YI-ON_755.58kgCO2,425,755.58,표준배출계수,2021-06-25,2024-06-24
476,2021-476,에이치디현대에너지솔루션(주),음성공장,HiS-S430YI-ON,HiS-S430YI-ON_746.79kgCO2,430,746.79,표준배출계수,2021-06-25,2024-06-24
477,2021-477,에이치디현대에너지솔루션(주),음성공장,HiS-S435YI-ON,HiS-S435YI-ON_738.21kgCO2,435,738.21,표준배출계수,2021-06-25,2024-06-24
478,2021-478,에이치디현대에너지솔루션(주),음성공장,HiS-S440YI-ON,HiS-S440YI-ON_729.82kgCO2,440,729.82,표준배출계수,2024-06-25,2027-06-24
479,2021-479,에이치디현대에너지솔루션(주),음성공장,HiS-S445YI-ON,HiS-S445YI-ON_721.62kgCO2,445,721.62,표준배출계수,2021-06-25,2024-06-24
480,2021-480,에이치디현대에너지솔루션(주),음성공장,HiS-S450YI-ON,HiS-S450YI-ON_713.60kgCO2,450,713.6,표준배출계수,2021-06-25,2024-06-24
481,2021-481,에이치디현대에너지솔루션(주),음성공장,HiS-S425ZI-ON,HiS-S425ZI-ON_790.53kgCO2,425,790.53,표준배출계수,2021-06-25,2024-06-24
482,2021-482,에이치디현대에너지솔루션(주),음성공장,HiS-S430ZI-ON,HiS-S430ZI-ON_781.34kgCO2,430,781.34,표준배출계수,2021-06-25,2024-06-24
483,2021-483,에이치디현대에너지솔루션(주),음성공장,HiS-S435ZI-ON,HiS-S435ZI-ON_772.35kgCO2,435,772.35,표준배출계수,2021-06-25,2024-06-24
484,2021-484,에이치디현대에너지솔루션(주),음성공장,HiS-S440ZI-ON,HiS-S440ZI-ON_763.58kgCO2,440,763.58,표준배출계수,2021-06-25,2024-06-24
485,2021-485,에이치디현대에너지솔루션(주),음성공장,HiS-S445ZI-ON,HiS-S445ZI-ON_755.00kgCO2,445,755,표준배출계수,2021-06-25,2024-06-24
486,2021-486,에이치디현대에너지솔루션(주),음성공장,HiS-S450ZI-ON,HiS-S450ZI-ON_746.61kgCO2,450,746.61,표준배출계수,2021-06-25,2024-06-24
487,2021-487,에이치디현대에너지솔루션(주),음성공장,HiS-S425ZI-ON,HiS-S425ZI-ON_680.33kgCO2,425,680.33,표준배출계수,2021-06-25,2024-06-24
488,2021-488,에이치디현대에너지솔루션(주),음성공장,HiS-S430ZI-ON,HiS-S430ZI-ON_672.42kgCO2,430,672.42,표준배출계수,2021-06-25,2024-06-24
489,2021-489,에이치디현대에너지솔루션(주),음성공장,HiS-S435ZI-ON,HiS-S435ZI-ON_664.69kgCO2,435,664.69,표준배출계수,2021-06-25,2024-06-24
490,2021-490,에이치디현대에너지솔루션(주),음성공장,HiS-S440ZI-ON,HiS-S440ZI-ON_657.14kgCO2,440,657.14,표준배출계수,2021-06-25,2024-06-24
491,2021-491,에이치디현대에너지솔루션(주),음성공장,HiS-S445ZI-ON,HiS-S445ZI-ON_649.76kgCO2,445,649.76,표준배출계수,2021-06-25,2024-06-24
492,2021-492,에이치디현대에너지솔루션(주),음성공장,HiS-S450ZI-ON,HiS-S450ZI-ON_642.54kgCO2,450,642.54,표준배출계수,2021-06-25,2024-06-24
493,2021-493,에이치디현대에너지솔루션(주),음성공장,HiS-S425ZI-ON,HiS-S425ZI-ON_771.91kgCO2,425,771.91,표준배출계수,2021-06-25,2024-06-24
494,2021-494,에이치디현대에너지솔루션(주),음성공장,HiS-S430ZI-ON,HiS-S430ZI-ON_762.93kgCO2,430,762.93,표준배출계수,2021-06-25,2024-06-24
495,2021-495,에이치디현대에너지솔루션(주),음성공장,HiS-S435ZI-ON,HiS-S435ZI-ON_754.16kgCO2,435,754.16,표준배출계수,2021-06-25,2024-06-24
496,2021-496,에이치디현대에너지솔루션(주),음성공장,HiS-S440ZI-ON,HiS-S440ZI-ON_745.59kgCO2,440,745.59,표준배출계수,2021-06-25,2024-06-24
497,2021-497,에이치디현대에너지솔루션(주),음성공장,HiS-S445ZI-ON,HiS-S445ZI-ON_737.22kgCO2,445,737.22,표준배출계수,2021-06-25,2024-06-24
498,2021-498,에이치디현대에너지솔루션(주),음성공장,HiS-S450ZI-ON,HiS-S450ZI-ON_729.02kgCO2,450,729.02,표준배출계수,2021-06-25,2024-06-24
499,2021-499,에이치디현대에너지솔루션(주),음성공장,HiS-S425ZI-EN,HiS-S425ZI-EN_807.13kgCO2,425,807.13,표준배출계수,2021-06-25,2024-06-24
500,2021-500,에이치디현대에너지솔루션(주),음성공장,HiS-S430ZI-EN,HiS-S430ZI-EN_797.75kgCO2,430,797.75,표준배출계수,2021-06-25,2024-06-24
501,2021-501,에이치디현대에너지솔루션(주),음성공장,HiS-S435ZI-EN,HiS-S435ZI-EN_788.58kgCO2,435,788.58,표준배출계수,2021-06-25,2024-06-24
502,2021-502,에이치디현대에너지솔루션(주),음성공장,HiS-S440ZI-EN,HiS-S440ZI-EN_779.62kgCO2,440,779.62,표준배출계수,2021-06-25,2024-06-24
503,2021-503,에이치디현대에너지솔루션(주),음성공장,HiS-S445ZI-EN,HiS-S445ZI-EN_770.86kgCO2,445,770.86,표준배출계수,2021-06-25,2024-06-24
504,2021-504,에이치디현대에너지솔루션(주),음성공장,HiS-S450ZI-EN,HiS-S450ZI-EN_762.29kgCO2,450,762.29,표준배출계수,2021-06-25,2024-06-24
505,2021-505,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.2 KR1 445,Q.PEAK DUO XL-G9.2 KR1 445_694.31kgCO2,445,694.31,표준배출계수,2021-08-13,2024-08-12
506,2021-506,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.2 KR1 450,Q.PEAK DUO XL-G9.2 KR1 450_686.59kgCO2,450,686.59,표준배출계수,2021-08-13,2024-08-12
507,2021-507,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.2 KR1 455,Q.PEAK DUO XL-G9.2 KR1 455_679.05kgCO2,455,679.05,표준배출계수,2021-08-13,2024-08-12
508,2021-508,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3 KR1 465,Q.PEAK DUO XL-G9.3 KR1 465_646.89kgCO2,465,646.89,표준배출계수,2024-08-13,2027-08-12
509,2021-509,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3/BFG 445,Q.PEAK DUO XL-G9.3/BFG 445_671.46kgCO2,445,671.46,표준배출계수,2024-08-13,2027-08-12
510,2021-510,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3/BFG 450,Q.PEAK DUO XL-G9.3/BFG 450_664.00kgCO2,450,664,표준배출계수,2024-08-13,2027-08-12
511,2021-511,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3/BFG 455,Q.PEAK DUO XL-G9.3/BFG 455_656.70kgCO2,455,656.7,표준배출계수,2024-08-13,2027-08-12
512,2021-512,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G9.3/BFG 460,Q.PEAK DUO XL-G9.3/BFG 460_649.56kgCO2,460,649.56,표준배출계수,2024-08-13,2027-08-12
513,2021-513,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 470,Q.PEAK DUO XL-G10.3 KR1 470_665.46kgCO2,470,665.46,표준배출계수,2021-08-13,2024-08-12
514,2021-514,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 475,Q.PEAK DUO XL-G10.3 KR1 475_658.45kgCO2,475,658.45,표준배출계수,2021-08-13,2024-08-12
515,2021-515,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 480,Q.PEAK DUO XL-G10.3 KR1 480_651.59kgCO2,480,651.59,표준배출계수,2021-08-13,2024-08-12
516,2021-516,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 485,Q.PEAK DUO XL-G10.3 KR1 485_644.88kgCO2,485,644.88,표준배출계수,2021-08-13,2024-08-12
517,2021-517,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 465,Q.PEAK DUO XL-G10.3/BFG KR1 465_671.82kgCO2,465,671.82,표준배출계수,2024-08-13,2027-08-12
518,2021-518,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 470,Q.PEAK DUO XL-G10.3/BFG KR1 470_664.68kgCO2,470,664.68,표준배출계수,2024-08-13,2027-08-12
519,2021-519,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 475,Q.PEAK DUO XL-G10.3/BFG KR1 475_657.68kgCO2,475,657.68,표준배출계수,2024-08-13,2027-08-12
520,2021-520,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 480,Q.PEAK DUO XL-G10.3/BFG KR1 480_633.14kgCO2,480,633.14,표준배출계수,2024-08-13,2027-08-12
521,2021-521,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 480,Q.PEAK DUO XL-G10.3/BFG KR1 480_650.83kgCO2,480,650.83,표준배출계수,2024-08-13,2027-08-12
522,2021-522,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 480,Q.PEAK DUO XL-G10.3/BFG KR1 480_718.35kgCO2,480,718.35,표준배출계수,2024-08-13,2027-08-12
523,2021-523,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6 KR2 435,Q.PEAK DUO L-G6 KR2 435_633.11kgCO2,435,633.11,표준배출계수,2024-08-13,2027-08-12
524,2021-524,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.2 KR1 410,Q.PEAK DUO L-G6.2 KR1 410_693.96kgCO2,410,693.96,표준배출계수,2021-08-13,2024-08-12
525,2021-525,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.2 KR1 415,Q.PEAK DUO L-G6.2 KR1 415_685.60kgCO2,415,685.6,표준배출계수,2021-08-13,2024-08-12
526,2021-526,한화솔루션(주),진천사업장,Q.PEAK DUO L-G6.2 KR1 420,Q.PEAK DUO L-G6.2 KR1 420_677.44kgCO2,420,677.44,표준배출계수,2021-08-13,2024-08-12
527,2021-527,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 465,Q.PEAK DUO XL-G10.d/BFG KR1 465_652.22kgCO2,465,652.22,표준배출계수,2021-08-13,2024-08-12
528,2021-528,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 470,Q.PEAK DUO XL-G10.d/BFG KR1 470_645.28kgCO2,470,645.28,표준배출계수,2021-08-13,2024-08-12
529,2021-529,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 475,Q.PEAK DUO XL-G10.d/BFG KR1 475_638.49kgCO2,475,638.49,표준배출계수,2021-08-13,2024-08-12
530,2021-530,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 465,Q.PEAK DUO XL-G10.d/BFG KR1 465_670.47kgCO2,465,670.47,표준배출계수,2024-08-13,2027-08-12
531,2021-531,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 470,Q.PEAK DUO XL-G10.d/BFG KR1 470_663.34kgCO2,470,663.34,표준배출계수,2024-08-13,2027-08-12
532,2021-532,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 475,Q.PEAK DUO XL-G10.d/BFG KR1 475_656.36kgCO2,475,656.36,표준배출계수,2024-08-13,2027-08-12
533,2021-533,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 465,Q.PEAK DUO XL-G10.d/BFG KR1 465_740.17kgCO2,465,740.17,표준배출계수,2024-08-13,2027-08-12
534,2021-534,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 470,Q.PEAK DUO XL-G10.d/BFG KR1 470_732.30kgCO2,470,732.3,표준배출계수,2024-08-13,2027-08-12
535,2021-535,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 475,Q.PEAK DUO XL-G10.d/BFG KR1 475_724.59kgCO2,475,724.59,표준배출계수,2024-08-13,2027-08-12
536,2021-536,엘지전자(주),구미 제3공장,LG450S2W-U6.DK5,LG450S2W-U6.DK5_656.06kgCO2,450,656.06,표준배출계수,2021-08-13,2024-08-12
537,2021-537,엘지전자(주),구미 제3공장,LG470N2T-E6.DK5,LG470N2T-E6.DK5_650.79kgCO2,440,650.79,표준배출계수,2021-09-15,2024-09-14
538,2021-538,엘지전자(주),구미 제3공장,LG475N2T-E6.DK5,LG475N2T-E6.DK5_643.48kgCO2,445,643.48,표준배출계수,2021-09-15,2024-09-14
539,2021-539,엘지전자(주),구미 제3공장,LG480N2T-E6.DK5,LG480N2T-E6.DK5_636.33kgCO2,450,636.33,표준배출계수,2021-09-15,2024-09-14
540,2021-540,엘지전자(주),구미 제3공장,LG460N2W-E6,LG460N2W-E6_622.57kgCO2,460,622.57,표준배출계수,2021-09-15,2024-09-14
541,2021-541,엘지전자(주),구미 제3공장,LG465N2W-E6,LG465N2W-E6_615.88kgCO2,465,615.88,표준배출계수,2021-09-15,2024-09-14
